"","Range","Step","Salary"
"560",12,"J2",52260
"561",13,"J2",56101.5
"562",14,"J2",60099
"563",15,"J2",64584
"564",16,"J2",69205.5
"565",17,"J2",73944
"566",18,"J2",79111.5
"567",19,"J2",84532.5
"568",20,"J2",90421.5
"569",21,"J2",96798
"570",22,"J2",103681.5
"571",23,"J2",111208.5
"572",24,"J2",119203.5
"573",25,"J2",128154
"574",26,"J2",133029
"575",27,"J2",137650.5
"576",5,"K2",34983
"577",6,"K2",37108.5
"578",7,"K2",39370.5
"579",8,"K2",41925
"580",9,"K2",44382
"581",10,"K2",47248.5
"582",11,"K2",50427
"583",12,"K2",53956.5
"584",13,"K2",57934.5
"585",14,"K2",62049
"586",15,"K2",66690
"587",16,"K2",71448
"588",17,"K2",76342.5
"589",18,"K2",81685.5
"590",19,"K2",87282
"591",20,"K2",93366
"592",21,"K2",99937.5
"593",22,"K2",107055
"594",23,"K2",114816
"595",24,"K2",123084
"596",25,"K2",132327
"597",26,"K2",137358
"598",27,"K2",142116
"599",5,"L2",36114
"600",6,"L2",38317.5
"601",7,"L2",40657.5
"602",8,"L2",43290
"603",9,"L2",45825
"604",10,"L2",48789
"605",11,"L2",52065
"606",12,"L2",55711.5
"607",13,"L2",59826
"608",14,"L2",64057.5
"609",15,"L2",68854.5
"610",16,"L2",73768.5
"611",17,"L2",78819
"612",18,"L2",84337.5
"613",19,"L2",90109.5
"614",20,"L2",96408
"615",21,"L2",103194
"616",22,"L2",110526
"617",23,"L2",118540.5
"618",24,"L2",127081.5
"619",25,"L2",136636.5
"620",26,"L2",141823.5
"621",27,"L2",146737.5
"622",5,"M2",37284
"623",6,"M2",39565.5
"624",7,"M2",41983.5
"625",8,"M2",44694
"626",9,"M2",47307
"627",10,"M2",50368.5
"628",11,"M2",53761.5
"629",12,"M2",57525
"630",13,"M2",61776
"631",14,"M2",66144
"632",15,"M2",71097
"633",16,"M2",76167
"634",17,"M2",81373.5
"635",18,"M2",87087
"636",19,"M2",93034.5
"637",20,"M2",99547.5
"638",21,"M2",106548
"639",22,"M2",114114
"640",23,"M2",122401.5
"641",24,"M2",131215.5
"642",25,"M2",141082.5
"643",26,"M2",146425.5
"644",27,"M2",151515
"645",5,"N2",38493
"646",6,"N2",40852.5
"647",7,"N2",43348.5
"648",8,"N2",46137
"649",9,"N2",48847.5
"650",10,"N2",52006.5
"651",11,"N2",55516.5
"652",12,"N2",59397
"653",13,"N2",63784.5
"654",14,"N2",68289
"655",15,"N2",73398
"656",16,"N2",78643.5
"657",17,"N2",84025.5
"658",18,"N2",89914.5
"659",19,"N2",96057
"660",20,"N2",102784.5
"661",21,"N2",110019
"662",22,"N2",117819
"663",23,"N2",126379.5
"664",24,"N2",135486
"665",25,"N2",145665
"666",26,"N2",151183.5
"667",27,"N2",156448.5
"668",5,"O2",39741
"669",6,"O2",42178.5
"670",7,"O2",44752.5
"671",8,"O2",47638.5
"672",9,"O2",50427
"673",10,"O2",53703
"674",11,"O2",57330
"675",12,"O2",61327.5
"676",13,"O2",65851.5
"677",14,"O2",70512
"678",15,"O2",75777
"679",16,"O2",81198
"680",17,"O2",86755.5
"681",18,"O2",92839.5
"682",19,"O2",99177
"683",20,"O2",106119
"684",21,"O2",113587.5
"685",22,"O2",121641
"686",23,"O2",130494
"687",24,"O2",139893
"688",25,"O2",150403.5
"689",26,"O2",156097.5
"690",27,"O2",161538
"691",5,"P2",41028
"692",6,"P2",43543.5
"693",7,"P2",46215
"694",8,"P2",49179
"695",9,"P2",52065
"696",10,"P2",55458
"697",11,"P2",59202
"698",12,"P2",63316.5
"699",13,"P2",67996.5
"700",14,"P2",72813
"701",15,"P2",78234
"702",16,"P2",83830.5
"703",17,"P2",89583
"704",18,"P2",95862
"705",19,"P2",102394.5
"706",20,"P2",109570.5
"707",21,"P2",117273
"708",22,"P2",125599.5
"709",23,"P2",134725.5
"710",24,"P2",144436.5
"711",25,"P2",155298
"712",26,"P2",161167.5
"713",27,"P2",166783.5
"714",5,"Q2",42354
"715",6,"Q2",44967
"716",7,"Q2",47716.5
"717",8,"Q2",50778
"718",9,"Q2",53761.5
"719",10,"Q2",57252
"720",11,"Q2",61132.5
"721",12,"Q2",65383.5
"722",13,"Q2",70200
"723",14,"Q2",75172.5
"724",15,"Q2",80769
"725",16,"Q2",86560.5
"726",17,"Q2",92488.5
"727",18,"Q2",98982
"728",19,"Q2",105729
"729",20,"Q2",113139
"730",21,"Q2",121075.5
"731",22,"Q2",129675
"732",23,"Q2",139113
"733",24,"Q2",149136
"734",25,"Q2",160348.5
"735",26,"Q2",166413
"736",27,"Q2",172204.5
"737",5,"R2",43738.5
"738",6,"R2",46429.5
"739",7,"R2",49276.5
"740",8,"R2",52435.5
"741",9,"R2",55516.5
"742",10,"R2",59104.5
"743",11,"R2",63121.5
"744",12,"R2",67509
"745",13,"R2",72481.5
"746",14,"R2",77610
"747",15,"R2",83401.5
"748",16,"R2",89368.5
"749",17,"R2",95491.5
"750",18,"R2",102199.5
"751",19,"R2",109161
"752",20,"R2",116824.5
"753",21,"R2",125014.5
"754",22,"R2",133887
"755",23,"R2",143637
"756",24,"R2",153991.5
"757",25,"R2",165555
"758",26,"R2",171814.5
"759",27,"R2",177801
"760",5,"S2",45162
"761",6,"S2",47931
"762",7,"S2",50875.5
"763",8,"S2",54132
"764",9,"S2",57330
"765",10,"S2",61035
"766",11,"S2",65169
"767",12,"S2",69712.5
"768",13,"S2",74841
"769",14,"S2",80125.5
"770",15,"S2",86112
"771",16,"S2",92274
"772",17,"S2",98592
"773",18,"S2",105514.5
"774",19,"S2",112710
"775",20,"S2",120627
"776",21,"S2",129070.5
"777",22,"S2",138235.5
"778",23,"S2",148297.5
"779",24,"S2",159003
"780",25,"S2",170937
"781",26,"S2",177391.5
"782",27,"S2",183573
"783",5,"T2",46624.5
"784",6,"T2",49491
"785",7,"T2",52533
"786",8,"T2",55887
"787",9,"T2",59202
"788",10,"T2",63024
"789",11,"T2",67294.5
"790",12,"T2",71974.5
"791",13,"T2",77278.5
"792",14,"T2",82738.5
"793",15,"T2",88920
"794",16,"T2",95277
"795",17,"T2",101790
"796",18,"T2",108946.5
"797",19,"T2",116376
"798",20,"T2",124546.5
"799",21,"T2",133263
"800",22,"T2",142720.5
"801",23,"T2",153114
"802",24,"T2",164170.5
"803",25,"T2",176494.5
"804",26,"T2",183163.5
"805",27,"T2",189540
"806",5,"U2",48145.5
"807",6,"U2",51090
"808",7,"U2",54249
"809",8,"U2",57700.5
"810",9,"U2",61132.5
"811",10,"U2",65071.5
"812",11,"U2",69478.5
"813",12,"U2",74314.5
"814",13,"U2",79794
"815",14,"U2",85429.5
"816",15,"U2",91806
"817",16,"U2",98377.5
"818",17,"U2",105105
"819",18,"U2",112495.5
"820",19,"U2",120159
"821",20,"U2",128602.5
"822",21,"U2",137592
"823",22,"U2",147361.5
"824",23,"U2",158086.5
"825",24,"U2",169513.5
"826",25,"U2",182227.5
"827",26,"U2",189111
"828",27,"U2",195702
"829",5,"V2",49705.5
"830",6,"V2",52747.5
"831",7,"V2",56004
"832",8,"V2",59572.5
"833",9,"V2",63121.5
"834",10,"V2",67177.5
"835",11,"V2",71740.5
"836",12,"V2",76732.5
"837",13,"V2",82387.5
"838",14,"V2",88198.5
"839",15,"V2",94789.5
"840",16,"V2",101575.5
"841",17,"V2",108517.5
"842",18,"V2",116142
"843",19,"V2",124059
"844",20,"V2",132775.5
"845",21,"V2",142057.5
"846",22,"V2",152158.5
"847",23,"V2",163215
"848",24,"V2",175032
"849",25,"V2",188155.5
"850",26,"V2",195253.5
"851",27,"V2",202059
"852",5,"W2",51324
"853",6,"W2",54463.5
"854",7,"W2",57817.5
"855",8,"W2",61503
"856",9,"W2",65169
"857",10,"W2",69361.5
"858",11,"W2",74080.5
"859",12,"W2",79228.5
"860",13,"W2",85059
"861",14,"W2",91065
"862",15,"W2",97870.5
"863",16,"W2",104871
"864",17,"W2",112047
"865",18,"W2",119925
"866",19,"W2",128095.5
"867",20,"W2",137085
"868",21,"W2",146679
"869",22,"W2",157111.5
"870",23,"W2",168519
